Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
BigQuery	query/query69.sql	5.912	0.03632545471	2.563646269	3	8	3.632545471	1.860980857	2	4
BigQuery	query/query7.sql	4.666	0.0807762146	2.222186307	3	8	8.07762146	3.013930539	4	16
BigQuery	query/query70.sql	4.055	0.03002643585	2.019701914	3	8	3.002643585	1.586233237	2	4
BigQuery	query/query71.sql	3.403	0.07190704346	1.766807151	2	4	7.190704346	2.846133093	3	8
BigQuery	query/query72.sql	860.182	0.2575922012	9.748498132	10	1024	25.75922012	4.68701701	5	32
BigQuery	query/query73.sql	3.855	0.05080223083	1.94673086	2	4	5.080223083	2.34489185	3	8
BigQuery	query/query74.sql	19.971	0.03826141357	4.319834669	5	32	3.826141357	1.935890175	2	4
BigQuery	query/query75.sql	6.434	0.09745121002	2.685715936	3	8	9.745121002	3.284680099	4	16
BigQuery	query/query76.sql	4.063	0.07187366486	2.022545365	3	8	7.187366486	2.845463251	3	8
BigQuery	query/query77.sql	5.006	0.07849216461	2.323658291	3	8	7.849216461	2.972548646	3	8
BigQuery	query/query78.sql	37.11	0.129532814	5.213736096	6	64	12.9532814	3.695245711	4	16
BigQuery	query/query79.sql	4.828	0.080742836	2.271425676	3	8	8.0742836	3.013334261	4	16
BigQuery	query/query8.sql	5.046	0.03019332886	2.335140206	3	8	3.019332886	1.594229825	2	4
BigQuery	query/query80.sql	9.01	0.1331233978	3.171527106	4	16	13.31233978	3.734692257	4	16
BigQuery	query/query81.sql	15.976	0.003066062927	3.997834333	4	16	0.3066062927	-1.705540788	-1	0.5
BigQuery	query/query82.sql	5.065	0.05347728729	2.340562269	3	8	5.347728729	2.418926285	3	8
BigQuery	query/query83.sql	5.952	0.00542640686	2.573374526	3	8	0.542640686	-0.881930873	0	1
BigQuery	query/query84.sql	3.942	0.00168800354	1.978927776	2	4	0.168800354	-2.566610165	-2	0.25
BigQuery	query/query85.sql	10.847	0.02068519592	3.439224181	4	16	2.068519592	1.048598622	2	4
BigQuery	query/query86.sql	2.853	0.007886886597	1.512479747	2	4	0.7886886597	-0.3424721962	0	1
BigQuery	query/query87.sql	13.984	0.03590106964	3.805705185	4	16	3.590106964	1.844026829	2	4
BigQuery	query/query88.sql	5.122	0.03003120422	2.356707253	3	8	3.003120422	1.586462327	2	4
BigQuery	query/query89.sql	3.807	0.04054546356	1.92865457	2	4	4.054546356	2.019540507	3	8
BigQuery	query/query9.sql	4.087	0.03002166748	2.031042243	3	8	3.002166748	1.58600411	2	4
BigQuery	query/query90.sql	3.072	0.00786781311	1.619178216	2	4	0.786781311	-0.3459654062	0	1
BigQuery	query/query91.sql	4.23	0.002632141113	2.080657663	3	8	0.2632141113	-1.925691259	-1	0.5
BigQuery	query/query92.sql	3.623	0.007882118225	1.857184806	2	4	0.7882118225	-0.343344706	0	1
BigQuery	query/query93.sql	7.271	0.05509376526	2.862153795	3	8	5.509376526	2.461889064	3	8
BigQuery	query/query94.sql	7.756	0.018658638	2.955312803	3	8	1.8658638	0.8998436796	1	2
BigQuery	query/query95.sql	17.539	0.018658638	4.132494589	5	32	1.8658638	0.8998436796	1	2
BigQuery	query/query96.sql	2.694	0.03003120422	1.429749851	2	4	3.003120422	1.586462327	2	4
BigQuery	query/query97.sql	7.356	0.04616260529	2.87892148	3	8	4.616260529	2.206724648	3	8
BigQuery	query/query98.sql	4.561	0.03064155579	2.18935017	3	8	3.064155579	1.61548955	2	4
BigQuery	query/query99.sql	3.942	0.02606868744	1.978927776	2	4	2.606868744	1.382317945	2	4
