Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
Snowflake	query/query63.sql	3.683	0.01106341815	1.880881397	2	4	1.106341815	0.1457971885	1	2
Snowflake	query/query64.sql	23.217	0.06974188952	4.53710966	5	32	6.974188952	2.802025452	3	8
Snowflake	query/query65.sql	14.862	0.04464418151	3.893556369	4	16	4.464418151	2.158472161	3	8
Snowflake	query/query66.sql	4.861	0.01460202976	2.281253134	3	8	1.460202976	0.5461689254	1	2
Snowflake	query/query67.sql	57.429	0.1725118221	5.843707535	6	64	17.25118221	4.108623327	5	32
Snowflake	query/query68.sql	10.765	0.03233714264	3.428276414	4	16	3.233714264	1.693192206	2	4
Snowflake	query/query69.sql	0.821	0.002466214037	-0.2845458729	0	1	0.2466214037	-2.019630082	-2	0.25
Snowflake	query/query7.sql	7.321	0.02199166013	2.872040725	3	8	2.199166013	1.136956516	2	4
Snowflake	query/query70.sql	8.649	0.02598085896	3.112533338	4	16	2.598085896	1.377449129	2	4
Snowflake	query/query71.sql	7.029	0.02111451701	2.813319455	3	8	2.111451701	1.078235246	2	4
Snowflake	query/query72.sql	14.444	0.04338854513	3.85239842	4	16	4.338854513	2.117314212	3	8
Snowflake	query/query73.sql	2.758	0.008284796972	1.463622457	2	4	0.8284796972	-0.2714617519	0	1
Snowflake	query/query74.sql	18.717	0.05622427299	4.22627731	5	32	5.622427299	2.491193101	3	8
Snowflake	query/query75.sql	17.019	0.05112362569	4.089074365	5	32	5.112362569	2.353990156	3	8
Snowflake	query/query76.sql	14.135	0.04246033546	3.821199978	4	16	4.246033546	2.086115769	3	8
Snowflake	query/query77.sql	6.083	0.01827281363	2.604783004	3	8	1.827281363	0.8696987955	1	2
Snowflake	query/query78.sql	69.375	0.2083965881	6.116343961	7	128	20.83965881	4.381259752	5	32
Snowflake	query/query79.sql	6.711	0.02015927211	2.746527757	3	8	2.015927211	1.011443548	2	4
Snowflake	query/query8.sql	6.702	0.02013223688	2.744591687	3	8	2.013223688	1.009507478	2	4
Snowflake	query/query80.sql	16.221	0.0487265017	4.019790857	5	32	4.87265017	2.284706648	3	8
Snowflake	query/query81.sql	1.845	0.005542222775	0.8836208163	1	2	0.5542222775	-0.8514633925	0	1
Snowflake	query/query82.sql	1.678	0.005040569006	0.7467427158	1	2	0.5040569006	-0.988341493	0	1
Snowflake	query/query83.sql	1.208	0.003628729058	0.2726204547	1	2	0.3628729058	-1.462463754	-1	0.5
Snowflake	query/query84.sql	1.1	0.003304306261	0.1375035237	1	2	0.3304306261	-1.597580685	-1	0.5
Snowflake	query/query85.sql	4.886	0.01467712763	2.288653864	3	8	1.467712763	0.5535696548	1	2
Snowflake	query/query86.sql	2.058	0.006182056623	1.041242982	2	4	0.6182056623	-0.6938412265	0	1
Snowflake	query/query87.sql	11.478	0.03447893388	3.520799374	4	16	3.447893388	1.785715166	2	4
Snowflake	query/query88.sql	13.736	0.04126177346	3.779890039	4	16	4.126177346	2.044805831	3	8
Snowflake	query/query89.sql	5.196	0.01560834121	2.377401431	3	8	1.560834121	0.642317222	1	2
Snowflake	query/query9.sql	29.362	0.08820094586	4.875878336	5	32	8.820094586	3.140794127	4	16
Snowflake	query/query90.sql	1.943	0.005836606423	0.9582859009	1	2	0.5836606423	-0.7767983078	0	1
Snowflake	query/query91.sql	1.098	0.003298298432	0.1348780543	1	2	0.3298298432	-1.600206154	-1	0.5
Snowflake	query/query92.sql	1.822	0.005473132735	0.8655229591	1	2	0.5473132735	-0.8695612496	0	1
Snowflake	query/query93.sql	6.122	0.0183899663	2.614003045	3	8	1.83899663	0.8789188361	1	2
Snowflake	query/query94.sql	3.259	0.009789758278	1.704429352	2	4	0.9789758278	-0.03065485668	0	1
Snowflake	query/query95.sql	22.204	0.06669892384	4.472747693	5	32	6.669892384	2.737663484	3	8
Snowflake	query/query96.sql	1.8	0.005407046609	0.8479969066	1	2	0.5407046609	-0.8870873022	0	1
Snowflake	query/query97.sql	13.686	0.04111157772	3.774628947	4	16	4.111157772	2.039544739	3	8
Snowflake	query/query98.sql	5.447	0.01636232382	2.445461867	3	8	1.636232382	0.7103776584	1	2
Snowflake	query/query99.sql	3.756	0.01128270392	1.909197063	2	4	1.128270392	0.1741128542	1	2
Redshift	query/query10.sql	6.112	0.01835992715	2.611644543	3	8	1.835992715	0.8765603346	1	2
Redshift	query/query11.sql	72.375	0.2174083324	6.177419538	7	128	21.74083324	4.442335329	5	32
Redshift	query/query12.sql	0.951	0.002856722959	-0.0724827538	0	1	0.2856722959	-1.807566963	-1	0.5
Redshift	query/query13.sql	23.617	0.07094345543	4.56175381	5	32	7.094345543	2.826669601	3	8
Redshift	query/query14.sql	5.358	0.01609497541	2.421694581	3	8	1.609497541	0.6866103724	1	2
Redshift	query/query15.sql	6.349	0.01907185496	2.666529378	3	8	1.907185496	0.9314451692	1	2
Redshift	query/query16.sql	19.685	0.0591320625	4.299024807	5	32	5.91320625	2.563940599	3	8
Redshift	query/query17.sql	5.387	0.01618208894	2.429482065	3	8	1.618208894	0.6943978564	1	2
Redshift	query/query18.sql	5.132	0.01541609067	2.35952117	3	8	1.541609067	0.6244369617	1	2
Redshift	query/query19.sql	7.154	0.02149000636	2.838750118	3	8	2.149000636	1.10366591	2	4
Redshift	query/query1.sql	0.332	0.000997299708	-1.590744853	-1	0.5	0.0997299708	-3.325829062	-3	0.125
Redshift	query/query20.sql	1.031	0.003097036141	0.04404433271	1	2	0.3097036141	-1.691039876	-1	0.5
Redshift	query/query21.sql	2.718	0.00816464038	1.442545456	2	4	0.816464038	-0.2925387527	0	1
Redshift	query/query22.sql	6.044	0.01815566095	2.595503661	3	8	1.815566095	0.8604194517	1	2
Redshift	query/query23.sql	8.894	0.02671681808	3.152832405	4	16	2.671681808	1.417748196	2	4
